                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4384,                 3.4955,                 1.2724,                0.00354,                0.89474,                0.11691,                0.06384,                 1.3778,                 4.1836,                 1.0623,             0.00065116,             0.00065116,             0.00065116
                      2,                 1.3068,                  2.405,                 1.0994,                0.91662,                0.57864,                0.75974,                0.55327,                 1.1248,                 3.5288,                 1.0692,              0.0012852,              0.0012852,              0.0012852
                      3,                 1.3181,                   2.21,                 1.0735,                0.74296,                0.68421,                0.73038,                0.39491,                 1.5224,                 2.8351,                 1.1479,              0.0018863,              0.0018863,              0.0018863
                      4,                  1.439,                 2.1037,                  1.141,                0.55289,                0.63158,                0.59226,                0.28861,                 1.4571,                  2.907,                 1.3386,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.3321,                  2.028,                 1.1502,                0.75331,                0.73684,                  0.842,                0.50196,                 1.3175,                 2.2605,                 1.1926,              0.0018515,              0.0018515,              0.0018515
                      6,                 1.3456,                 1.9228,                 1.1744,                 0.5716,                0.84211,                0.76027,                0.46926,                 1.2998,                 2.1723,                 1.1836,               0.001802,               0.001802,               0.001802
                      7,                 1.2351,                 1.7303,                 1.1424,                0.88936,                0.89474,                0.88927,                 0.5746,                 1.2532,                 1.7369,                  1.257,              0.0017525,              0.0017525,              0.0017525
                      8,                 1.1813,                 1.6406,                 1.1299,                0.88994,                0.89474,                0.92275,                0.55089,                 1.3523,                 1.7625,                 1.1426,               0.001703,               0.001703,               0.001703
                      9,                 1.2738,                 1.6645,                 1.1332,                0.86493,                0.67459,                0.72784,                0.49044,                 1.2652,                 2.1004,                 1.1635,              0.0016535,              0.0016535,              0.0016535
                     10,                 1.1726,                 1.5684,                 1.1294,                 0.9463,                0.92806,                0.93405,                 0.5644,                 1.2139,                 1.6136,                  1.194,               0.001604,               0.001604,               0.001604
                     11,                 1.2234,                 1.4835,                 1.1213,                0.98402,                0.94737,                0.94522,                0.62357,                 1.1464,                  1.444,                 1.0633,              0.0015545,              0.0015545,              0.0015545
                     12,                 1.1135,                 1.3619,                 1.0437,                0.94703,                0.94131,                0.93669,                0.68718,                 1.0478,                 1.3065,                  1.015,               0.001505,               0.001505,               0.001505
                     13,                 1.0784,                   1.27,                 1.0708,                0.96571,                0.94737,                0.94511,                0.64893,                 1.1083,                 1.2413,                 1.0744,              0.0014555,              0.0014555,              0.0014555
                     14,                 1.0967,                 1.2166,                 1.0966,                0.80878,                0.94737,                0.89163,                0.59848,                 1.3096,                 1.2547,                 1.1042,               0.001406,               0.001406,               0.001406
                     15,                 1.0975,                 1.1601,                 1.1108,                0.93849,                0.89474,                0.91955,                0.67819,                  1.079,                 1.2478,                 1.0259,              0.0013565,              0.0013565,              0.0013565
                     16,                 1.0719,                 1.1821,                 1.0622,                0.73991,                0.94737,                0.86101,                0.60952,                 1.0975,                 1.1976,                  1.054,               0.001307,               0.001307,               0.001307
                     17,                 1.0371,                  1.046,                 1.0226,                 0.8982,                0.94737,                0.89622,                0.63765,                 1.1381,                 1.1123,                 1.0391,              0.0012575,              0.0012575,              0.0012575
                     18,                0.96687,                 1.0457,                0.99351,                0.94019,                0.94737,                0.93965,                0.66792,                 1.0674,                0.99023,                 1.0329,               0.001208,               0.001208,               0.001208
                     19,                 1.0115,                 1.1147,                 1.0116,                0.94449,                0.94737,                0.95485,                 0.6374,                  1.092,                 1.0287,                  1.022,              0.0011585,              0.0011585,              0.0011585
